,Phrases,Pargraphs
0,python,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
1,cpython,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
2,released,"was released  years after ..

major or feature releases, occurred about every  months but with the adoption of a yearly release cadence starting with python ."
3,statements,"as of september , the python package index pypi, the official repository for thirdparty python software, contains over , packages with a wide range of functionality, including



automation

data analytics

databases

documentation

graphical user interfaces

image processing

machine learning

mobile app

multimedia

computer networking

scientific computing

system administration

test frameworks

text processing

web frameworks

web scraping

development environments

see also comparison of integrated development environments  python

most python implementations including cpython include a read eval print loop repl, permitting them to function as a command line interpreter for which the user enters statements sequentially and receives results immediately."
4,language,"popularity

since , python has consistently ranked in the top ten most popular programming languages in the tiobe programming community index where, as of february , it is the third most popular language behind java, and c. it was selected programming language of the year for the highest rise in ratings in a year in , , , and  the only language to do so four times."
5,standard library,"programming examples

hello world program

printhello, world

program to calculate the factorial of a positive integer



n  intinputtype a number, and its factorial will be printed 



if n  

    raise valueerroryou must enter a nonnegative integer



factorial  

for i in range, n  

    factorial  i



printfactorial

libraries

pythons large standard library, commonly cited as one of its greatest strengths, provides tools suited to many tasks."
6,code,"the with statement, which encloses a code block within a context manager for example, acquiring a lock before the block of code is run and releasing the lock afterwards, or opening a file and then closing it, allowing resourceacquisitionisinitialization raiilike behavior and replaces a common tryfinally idiom."
7,compiler,"when speed is important, a python programmer can move timecritical functions to extension modules written in languages such as c, or use pypy, a justintime compiler."
8,division,"arithmetic operations

python has the usual symbols for arithmetic operators , , , , the floor division operator  and the modulo operation  where the remainder can be negative, e.g.     . it also has  for exponentiation, e.g."
9,indentation,"indentation

main article python syntax and semantics  indentation

python uses whitespace indentation, rather than curly brackets or keywords, to delimit blocks."
10,library,"due to pythons extensive mathematics library, and the thirdparty library numpy that further extends the native capabilities, it is frequently used as a scientific scripting language to aid in problems such as numerical data processing and manipulation."
11,string,"an empirical study found that scripting languages, such as python, are more productive than conventional languages, such as c and java, for programming problems involving string manipulation and search in a dictionary, and determined that memory consumption was often better than java and not much worse than c or c.



large organizations that use python include wikipedia, google, yahoo, cern, nasa, facebook, amazon, instagram, spotify and some smaller entities like ilm and ita."
12,programming,"an empirical study found that scripting languages, such as python, are more productive than conventional languages, such as c and java, for programming problems involving string manipulation and search in a dictionary, and determined that memory consumption was often better than java and not much worse than c or c.



large organizations that use python include wikipedia, google, yahoo, cern, nasa, facebook, amazon, instagram, spotify and some smaller entities like ilm and ita."
13,programming language,"popularity

since , python has consistently ranked in the top ten most popular programming languages in the tiobe programming community index where, as of february , it is the third most popular language behind java, and c. it was selected programming language of the year for the highest rise in ratings in a year in , , , and  the only language to do so four times."
14,syntax,this has the advantage of avoiding a classic c error of mistaking an assignment operator  for an equality operator  in conditions if c    ...  is syntactically valid but probably unintended c code but if c   ... causes a syntax error in python.
15,objectoriented,"objectoriented programming and structured programming are fully supported, and many of its features support functional programming and aspectoriented programming including by metaprogramming and metaobjects magic methods."
16,van rossum,"van rossum shouldered sole responsibility for the project, as the lead developer, until  july , when he announced his permanent vacation from his responsibilities as pythons benevolent dictator for life, a title the python community bestowed upon him to reflect his longterm commitment as the projects chief decisionmaker."
17,pypy,"examples of the use of this prefix in names of python applications or libraries include pygame, a binding of sdl to python commonly used to create games pyqt and pygtk, which bind qt and gtk to python respectively and pypy, a python implementation originally written in python."
18,python uses,"for example, the expression a  b  c tests whether a is less than b and b is less than c. cderived languages interpret this expression differently in c, the expression would first evaluate a  b, resulting in  or , and that result would then be compared with c.



python uses arbitraryprecision arithmetic for all integer operations."
19,ÿþpython programming language,"ÿþpython programming language

from wikipedia, the free encyclopedia

python is an interpreted highlevel generalpurpose programming language."
20,wikipedia,"an empirical study found that scripting languages, such as python, are more productive than conventional languages, such as c and java, for programming problems involving string manipulation and search in a dictionary, and determined that memory consumption was often better than java and not much worse than c or c.



large organizations that use python include wikipedia, google, yahoo, cern, nasa, facebook, amazon, instagram, spotify and some smaller entities like ilm and ita."
21,free encyclopedia,"ÿþpython programming language

from wikipedia, the free encyclopedia

python is an interpreted highlevel generalpurpose programming language."
22,highlevel generalpurpose programming language,"ÿþpython programming language

from wikipedia, the free encyclopedia

python is an interpreted highlevel generalpurpose programming language."
23,design philosophy,"in contrast to perls there is more than one way to do it motto, python embraces a there should be one  and preferably only one  obvious way to do it design philosophy."
24,code readability,its design philosophy emphasizes code readability with its use of significant indentation.
25,use,"an empirical study found that scripting languages, such as python, are more productive than conventional languages, such as c and java, for programming problems involving string manipulation and search in a dictionary, and determined that memory consumption was often better than java and not much worse than c or c.



large organizations that use python include wikipedia, google, yahoo, cern, nasa, facebook, amazon, instagram, spotify and some smaller entities like ilm and ita."
26,significant indentation,its design philosophy emphasizes code readability with its use of significant indentation.
27,approach,"van rossums vision of a small core language with a large standard library and easily extensible interpreter stemmed from his frustrations with abc, which espoused the opposite approach."
28,programmers,"its language constructs as well as its objectoriented approach aim to help programmers write clear, logical code for small and largescale projects."
29,clear,"its language constructs as well as its objectoriented approach aim to help programmers write clear, logical code for small and largescale projects."
30,logical code,"its language constructs as well as its objectoriented approach aim to help programmers write clear, logical code for small and largescale projects."
31,small,"van rossums vision of a small core language with a large standard library and easily extensible interpreter stemmed from his frustrations with abc, which espoused the opposite approach."
32,largescale projects,"its language constructs as well as its objectoriented approach aim to help programmers write clear, logical code for small and largescale projects."
33,garbagecollected,python is dynamicallytyped and garbagecollected.
34,multiple programming paradigms,"it supports multiple programming paradigms, including structured particularly, procedural, objectoriented and functional programming."
35,procedural,"it supports multiple programming paradigms, including structured particularly, procedural, objectoriented and functional programming."
36,functional programming,"objectoriented programming and structured programming are fully supported, and many of its features support functional programming and aspectoriented programming including by metaprogramming and metaobjects magic methods."
37,generator expressions,"it has filter,mapandreduce functions list comprehensions, dictionaries, sets, and generator expressions."
38,dynamic typing,"this is referred to as dynamic typing and is contrasted with staticallytyped programming languages, where each variable may only contain values of a certain type."
39,operator,this has the advantage of avoiding a classic c error of mistaking an assignment operator  for an equality operator  in conditions if c    ...  is syntactically valid but probably unintended c code but if c   ... causes a syntax error in python.
40,comprehensive standard library,it is often described as a batteries included language due to its comprehensive standard library.
41,lead developer,"van rossum shouldered sole responsibility for the project, as the lead developer, until  july , when he announced his permanent vacation from his responsibilities as pythons benevolent dictator for life, a title the python community bestowed upon him to reflect his longterm commitment as the projects chief decisionmaker."
42,class,"new instances of classes are constructed by calling the class for example, spamclass or eggsclass, and the classes are instances of the metaclass type itself an instance of itself, allowing metaprogramming and reflection."
43,reference counting,"was released in  and introduced new features, such as list comprehensions and a garbage collection system using reference counting."
44,variable names,"it also features dynamic name resolution late binding, which binds method and variable names during program execution."
45,examples,"programming examples

hello world program

printhello, world

program to calculate the factorial of a positive integer



n  intinputtype a number, and its factorial will be printed 



if n  

    raise valueerroryou must enter a nonnegative integer



factorial  

for i in range, n  

    factorial  i



printfactorial

libraries

pythons large standard library, commonly cited as one of its greatest strengths, provides tools suited to many tasks."
46,strings,"raw string varieties, denoted by prefixing the string literal with an r. escape sequences are not interpreted hence raw strings are useful where literal backslashes are common, such as regular expressions and windowsstyle paths."
47,blocks,"for example



list comprehensions vs. forloops

conditional expressions vs. if blocks

the eval vs. exec builtin functions in python , exec is a statement the former is for expressions, the latter is for statements."
48,version,"cpythons public releases come in three types, distinguished by which part of the version number is incremented



backwardincompatible versions, where code is expected to break and needs to be manually ported."
49,list comprehensions,"for example



list comprehensions vs. forloops

conditional expressions vs. if blocks

the eval vs. exec builtin functions in python , exec is a statement the former is for expressions, the latter is for statements."
